risk,rat_present,season,hours_after_sunset,month,bat_landing_to_food
0,1,0,7.388055556,2,4.0
0,1,0,7.391388889,2,2.0
0,1,0,0.8775,2,7.0
1,1,0,1.225277778,2,1.0
0,1,0,5.661944444,2,14.0
1,1,0,8.481666667,2,8.0
0,1,0,8.554722222,2,1.0
1,1,0,8.796944444,2,6.0
1,1,0,8.798611111,2,1.0
1,1,0,8.803888889,2,7.0
1,1,0,8.808611111,2,4.0
1,1,0,8.831944444,2,4.0
1,1,0,10.37444444,2,0.035867953
0,1,0,7.489722222,2,2.0
1,1,0,7.505,2,1.0
0,1,0,6.767222222,2,3.0
1,1,0,6.862222222,2,1.0
0,1,0,7.114722222,2,17.0
1,1,0,7.156944444,2,1.0
1,1,0,10.18444444,2,1.0
1,1,0,10.2025,2,21.0
0,1,0,10.21222222,2,9.0
1,1,0,10.34222222,2,1.0
0,1,0,10.435,2,3.0
1,1,0,4.659166667,2,1.0
1,1,0,4.706388889,2,2.0
1,1,0,4.765,2,4.0
1,1,0,5.341666667,2,2.0
1,1,0,5.346388889,2,1.0
1,1,0,5.406388889,2,2.0
1,1,0,5.410277778,2,9.0
1,1,0,5.431944444,2,0.061201372
1,1,0,5.433611111,2,1.0
0,1,0,9.771666667,2,31.0
1,1,0,12.09194444,2,1.0
0,1,0,0.9225,2,0.050105814
0,1,0,2.085833333,2,1.0
1,1,0,2.097222222,2,0.085595674
1,1,0,1.440277778,2,6.0
0,1,0,1.446388889,2,6.0
1,1,0,1.479722222,2,1.0
1,1,0,1.274722222,2,3.0
0,1,0,1.265,2,155.0
0,1,0,1.491111111,2,1.0
0,1,0,1.5125,2,1.0
1,1,0,0.592777778,2,29.0
1,1,0,1.260555556,2,4.0
0,1,0,6.072222222,2,1.0
0,1,0,6.081388889,2,1.0
0,1,0,6.121111111,2,6.0
1,1,0,4.860277778,2,2.0
1,1,0,4.903611111,2,16.0
1,1,0,4.909166667,2,2.0
0,1,0,4.910555556,2,1.0
1,1,0,4.922777778,2,0.07570842
0,1,0,7.078055556,2,0.057540536
1,1,0,8.078333333,2,3.0
1,1,0,3.771111111,2,5.0
1,1,0,4.236666667,2,1.0
1,1,0,4.238611111,2,2.0
1,1,0,4.368333333,2,1.0
0,1,0,4.390555556,2,6.0
1,1,0,4.392222222,2,4.0
1,1,0,4.404722222,2,13.0
1,1,0,4.409722222,2,1.0
0,1,0,4.410555556,2,2.0
1,1,0,4.428888889,2,1.0
1,1,0,7.1725,2,1.0
0,1,0,7.794722222,2,5.0
1,1,0,8.544444444,2,0.04438061
1,1,0,8.551944444,2,3.0
0,1,0,8.5825,2,1.0
0,1,0,8.59,2,6.0
1,1,0,8.594722222,2,24.0
0,1,0,2.05,2,0.097399911
1,1,0,3.370555556,2,2.0
1,1,0,3.374722222,2,1.0
1,1,0,3.376666667,2,2.0
0,1,0,0.247777778,2,0.050211363
0,1,1,3.795555556,3,3.0
0,1,1,3.815277778,3,2.0
0,1,1,3.824166667,3,1.0
0,1,1,3.831111111,3,2.0
0,1,1,5.849444444,3,4.0
1,1,1,5.883055556,3,0.046019395
0,1,1,5.890833333,3,9.0
0,1,1,5.896111111,3,18.0
1,1,1,5.899166667,3,14.0
1,1,1,5.903055556,3,2.0
0,1,1,5.903333333,3,3.0
1,1,1,5.907222222,3,12.0
0,1,1,5.911666667,3,15.0
0,1,1,5.948055556,3,2.0
1,1,1,5.955277778,3,34.0
1,1,1,5.970555556,3,11.0
0,1,1,7.385833333,3,0.013008356
0,1,1,7.415277778,3,2.0
1,1,1,7.43,3,2.0
1,1,1,7.469166667,3,0.028276798
1,1,1,8.347222222,3,4.0
0,1,1,9.436944444,3,2.0
1,1,1,5.497777778,3,25.0
0,1,1,6.976944444,3,3.0
0,1,1,5.495,3,1.0
0,1,1,6.986666667,3,0.064154735
1,1,1,3.06,4,10.0
1,1,1,3.075277778,4,8.0
0,1,1,3.079166667,4,2.0
1,1,1,3.080555556,4,6.0
0,1,1,3.086666667,4,2.0
0,1,1,3.109166667,4,0.030293066
1,1,1,3.138055556,4,7.0
1,1,1,3.141111111,4,6.0
0,1,1,3.139722222,4,18.0
1,1,1,3.147222222,4,17.0
0,1,1,4.189444444,4,1.0
0,1,1,4.259722222,4,6.0
0,1,1,4.708055556,4,2.0
0,1,1,4.735,4,1.0
1,1,1,4.747777778,4,11.0
0,1,1,4.750833333,4,3.0
0,1,1,4.752222222,4,25.0
1,1,1,4.751944444,4,6.0
1,1,1,4.758611111,4,3.0
1,1,1,4.765555556,4,11.0
0,1,1,4.784444444,4,15.0
1,1,1,4.785833333,4,6.0
0,1,1,6.003888889,4,0.069936967
0,1,1,6.011944444,4,1.0
0,1,1,6.016388889,4,1.0
0,1,1,6.017222222,4,4.0
1,1,1,6.020277778,4,0.036982956
1,1,1,6.0225,4,1.0
0,1,1,6.024722222,4,2.0
0,1,1,6.039166667,4,4.0
1,1,1,6.053611111,4,3.0
